年月日,天気,降水量,風速
2019/6/12,曇,0.0,3.0
2019/6/13,曇,0.0,2.8
2019/6/14,晴,0.0,2.5
2019/6/15,曇,0.0,5.4
2019/6/16,曇,0.0,1.5
2019/6/17,曇,0.0,2.4
2019/6/18,曇,0.0,6.7
